userID,firstName,lastName,age,gender,email,phoneNumber,birthDate,address,coin
1,Terry,Medhurst,50,male,atuny0@sohu.com,+63 791 675 8914,2000-12-25,Washington,Bitcoin
2,Sheldon,Quigley,28,male,hbingley1@plala.or.jp,+7 813 117 7139,2003-08-02,Louisville,Bitcoin
3,Terrill,Hills,38,male,rshawe2@51.la,+63 739 292 7942,1992-12-30,Grass Valley,Bitcoin
4,Miles,Cummerata,49,male,yraigatt3@nature.com,+86 461 145 4186,1969-01-16,Manchester,Bitcoin
5,Mavis,Schultz,38,male,kmeus4@upenn.edu,+372 285 771 1911,1968-11-03,Louisville,Bitcoin
6,Alison,Reichert,21,female,jtreleven5@nhs.uk,+351 527 735 3642,1969-07-21,Essex,Bitcoin
7,Oleta,Abbott,31,female,dpettegre6@columbia.edu,+62 640 802 7111,1982-02-21,Vallejo,Bitcoin
8,Ewell,Mueller,29,male,ggude7@chron.com,+86 946 297 2275,1964-08-24,Glendale,Bitcoin
9,Demetrius,Corkery,22,male,nloiterton8@aol.com,+86 356 590 9727,1971-03-11,Nashville,Bitcoin
10,Eleanora,Price,37,female,umcgourty9@jalbum.net,+60 184 408 0824,1958-08-11,Glendale,Bitcoin
11,Marcel,Jones,39,male,acharlota@liveinternet.ru,+967 253 210 0344,1961-09-12,Louisville,Bitcoin
12,Assunta,Rath,42,female,rhallawellb@dropbox.com,+380 962 542 6549,1990-12-14,Arvada,Bitcoin
13,Trace,Douglas,26,male,lgribbinc@posterous.com,+1 609 937 3468,1967-07-23,West Windsor,Bitcoin
14,Enoch,Lynch,21,male,mturleyd@tumblr.com,+94 912 100 5118,1979-08-25,Manchester,Bitcoin
15,Jeanne,Halvorson,26,female,kminchelle@qq.com,+86 581 108 7855,1996-02-02,Yarmouth,Bitcoin
16,Trycia,Fadel,41,female,dpierrof@vimeo.com,+420 833 708 0340,1963-07-03,Nashville,Bitcoin
17,Bradford,Prohaska,43,male,vcholdcroftg@ucoz.com,+420 874 628 3710,1975-10-20,Fayetteville,Bitcoin
18,Arely,Skiles,42,male,sberminghamh@chron.com,+55 886 766 8617,1958-02-05,Montgomery,Bitcoin
19,Gust,Purdy,46,male,bleveragei@so-net.ne.jp,+86 886 889 0258,1989-10-15,Nashville,Bitcoin
20,Lenna,Renner,41,female,aeatockj@psu.edu,+1 904 601 7177,1980-01-19,Salinas,Bitcoin
21,Doyle,Ernser,23,male,ckensleyk@pen.io,+86 634 419 6839,1983-01-22,Fayetteville,Bitcoin
22,Tressa,Weber,41,female,froachel@howstuffworks.com,+34 517 104 6248,1987-11-11,Fayetteville,Bitcoin
23,Felicity,O'Reilly,46,female,beykelhofm@wikispaces.com,+63 919 564 1690,1967-10-05,Nashville,Bitcoin
24,Jocelyn,Schuster,19,male,brickeardn@fema.gov,+7 968 462 1292,1966-06-02,Montgomery,Bitcoin
25,Edwina,Ernser,21,female,dfundello@amazon.co.jp,+86 376 986 8945,2000-09-28,Savannah,Bitcoin
26,Griffin,Braun,35,male,lgronaverp@cornell.edu,+62 511 790 0161,1965-09-06,Anchorage,Bitcoin
27,Piper,Schowalter,47,female,fokillq@amazon.co.jp,+60 785 960 7918,1983-06-07,Nashville,Bitcoin
28,Kody,Terry,28,male,xisherwoodr@ask.com,+81 859 545 8951,1979-01-09,Manchester,Bitcoin
29,Macy,Greenfelder,45,female,jissetts@hostgator.com,+81 915 649 2384,1976-09-07,O'Neals,Bitcoin
30,Maurine,Stracke,31,female,kdulyt@umich.edu,+48 143 590 6847,1964-12-18,Washington,Bitcoin
